GPS_lon,GPS_lat,Plant,height_m,leaf_length_cm,leaf_aspect_ratio,bud_length_cm
136.75763041969512,35.732231692081584,shrub,1.81,6.3,1.4,2.3
136.75856045444968,35.73223173833233,shrub,0.6,1.2,10.1,1.5
136.7594903425744,35.73223172213557,shrub,0.54,1.4,9.7,1.5
136.76042023555516,35.732231679574085,shrub,0.7,5.4,10.7,1.7
136.76135023999223,35.732231710617874,shrub,1.14,0.5,2.1,2.3
136.76228011115913,35.73223169028195,tree,3.72,3.0,1.8,NA
136.76321009931567,35.73223170971806,shrub,0.62,0.5,3.4,1.7
136.76414000162234,35.73223167471506,tree,5.44,5.5,2.0,NA
136.76507001620197,35.73223171952609,tree,3.83,8.9,3.6,NA
136.7659998423845,35.732231671835635,tree,5.4,10.5,1.6,NA
136.7669298780326,35.732231727174565,shrub,1.85,0.5,0.3,2.3
136.767859775063,35.732231688842226,shrub,1.22,0.5,2.7,2.5
136.7687897391941,35.73223170620876,shrub,0.71,0.5,9.6,1.4
136.76971967634194,35.732231699550084,shrub,1.83,0.5,0.9,2.1
136.77064963437115,35.7322317105279,shrub,1.81,4.5,1.3,2.5
136.7715795584148,35.73223170422915,shrub,1.22,3.8,2.2,2.1
136.77250952379813,35.73223172393521,shrub,1.34,4.4,0.8,2.4
136.77343941065712,35.732231692891425,shrub,0.73,2.5,9.7,1.4
136.7743693303347,35.732231687852426,shrub,0.79,2.3,10.1,1.7
136.7752992894593,35.732231686322734,shrub,0.66,0.6,11.1,1.4
136.77622922056767,35.73223167885423,tree,5.99,0.5,2.9,NA
136.7771592106457,35.732231710167966,shrub,0.69,4.7,9.4,1.4
136.77808917467965,35.73223173005399,shrub,0.72,0.5,9.6,1.4
136.77901912975202,35.73223172906418,tree,3.3,4.7,1.0,NA
136.7799489997322,35.732231700629875,shrub,1.77,0.5,1.3,2.2
136.78087890094707,35.73223167588482,tree,3.22,3.3,2.7,NA
136.7818089764782,35.73223173878225,shrub,0.73,0.5,3.1,1.7
136.78273888425775,35.73223173158369,tree,3.58,4.1,4.2,NA
136.78366881904657,35.732231717366524,tree,6.99,7.0,0.6,NA
136.78459865805863,35.7322316739952,shrub,1.2,2.0,2.3,2.3
136.78552871485627,35.73223172933413,shrub,0.7,4.6,10.2,1.5
136.78645856104322,35.732231679574085,shrub,0.62,1.3,10.4,1.5
136.78738854131421,35.732231701889624,shrub,0.71,0.7,9.8,1.6
136.78831849043343,35.73223170593881,shrub,1.31,7.7,2.3,2.3
136.78924847439865,35.73223171835633,shrub,1.84,0.5,1.9,2.3
136.79017836161555,35.732231690101976,tree,4.78,3.1,1.3,NA
136.7911083705723,35.73223173878225,shrub,0.75,0.5,10.1,1.5
136.79203825600507,35.732231713677265,tree,4.33,3.9,1.5,NA
136.79296820733833,35.732231701619675,tree,4.76,1.7,1.4,NA
136.7938981110466,35.732231693791235,shrub,0.84,3.6,3.0,1.7
136.79482806310574,35.732231693431316,shrub,1.91,2.8,1.3,2.3
136.79575809514003,35.73223173905219,shrub,1.34,0.5,1.8,2.3
136.7589288883102,35.73298784064187,shrub,0.79,5.1,2.9,1.9
136.75985882008007,35.732987823905226,tree,3.91,7.1,0.5,NA
136.76078881173476,35.73298785260948,shrub,0.68,1.6,2.4,1.8
136.7617187962213,35.732987875914816,shrub,0.62,0.5,9.9,1.6
136.76264873769836,35.73298786115777,shrub,0.67,2.8,9.7,1.5
136.76357867849373,35.73298785521896,tree,4.72,0.5,3.1,NA
136.76450858508576,35.732987826334735,shrub,0.65,6.4,3.1,1.6
136.76543859494518,35.73298787762448,shrub,0.73,6.0,2.8,1.5
136.76636855730803,35.732987874385124,tree,5.38,5.7,1.0,NA
136.76729843617446,35.73298783380324,tree,5.67,5.2,3.5,NA
136.76822837780958,35.732987823005395,shrub,1.31,2.7,1.3,2.3
136.76915832260227,35.732987833893226,tree,5.01,3.9,0.7,NA
136.77008833145914,35.73298786223755,shrub,0.59,1.9,10.2,1.5
136.77101821717014,35.732987830024,shrub,0.57,2.4,2.0,1.9
136.77194821893409,35.73298785584883,shrub,1.89,0.5,1.4,2.4
136.77287818378593,35.732987870425916,shrub,0.72,7.9,10.7,1.5
136.77380812137864,35.732987867906424,tree,4.28,2.9,2.0,NA
136.77473801742187,35.73298783623275,shrub,0.59,2.2,9.4,1.5
136.77566802661184,35.732987875015006,shrub,1.21,8.3,1.6,2.3
136.77659795394035,35.73298786097781,shrub,1.68,6.2,0.7,2.3
136.7775278973867,35.73298785593881,tree,4.87,1.5,2.6,NA
136.7784578058166,35.732987830833835,tree,3.32,1.8,-0.3,NA
136.7793878766759,35.73298788896221,shrub,1.79,0.5,1.6,2.3
136.78031777957952,35.73298787771446,shrub,0.78,3.5,9.9,1.6
136.7812477422622,35.732987877174565,shrub,1.14,8.2,2.2,2.3
136.7821776480888,35.73298783947211,tree,4.89,4.6,1.9,NA
136.78310757127926,35.73298784577085,shrub,0.48,0.5,10.2,1.2
136.78403749351747,35.732987831283744,shrub,0.63,3.9,10.0,1.5
136.78496748372825,35.732987831823635,tree,4.27,2.7,1.9,NA
136.78589741563653,35.73298783875225,shrub,0.8,2.5,10.5,1.3
136.78682745985185,35.732987886712664,shrub,1.14,3.4,2.4,2.4
136.7877573788126,35.73298788320336,shrub,1.12,0.5,1.9,2.2
136.78868731801612,35.73298786583683,tree,3.95,7.4,1.5,NA
136.7896172362114,35.73298783875225,shrub,0.64,0.5,9.6,1.3
136.79054714378518,35.73298782165567,shrub,0.49,2.1,3.0,1.8
136.79147720443865,35.73298788788242,shrub,0.71,2.8,10.8,1.6
136.79240710078662,35.73298786115777,shrub,2.03,0.5,1.9,2.4
136.79333709778248,35.732987874925016,shrub,0.56,0.5,3.5,1.6
136.79426696464662,35.732987843341334,shrub,0.71,1.0,9.3,1.6
136.79519698900714,35.73298788212358,tree,5.21,4.4,2.3,NA
136.79612694177584,35.73298787033593,shrub,0.6,4.5,10.3,1.5
136.79705690078634,35.732987874745056,tree,6.41,1.2,2.3,NA
136.76022740521506,35.73374398155369,shrub,1.86,3.0,1.4,2.2
136.7611573514044,35.73374397174565,tree,3.61,8.7,1.3,NA
136.76208735042704,35.733744001079785,shrub,1.17,0.6,1.8,2.3
136.76301733522186,35.733744014847034,shrub,0.59,0.5,10.6,1.5
136.76394727879222,35.73374400170966,tree,4.19,3.0,2.5,NA
136.7648772007128,35.73374398434313,shrub,0.76,3.1,3.3,1.7
136.7658072347301,35.73374402348531,shrub,0.55,2.4,11.1,1.4
136.76673715581308,35.73374400530894,shrub,1.07,2.4,2.1,2.1
136.76766711939504,35.73374402141572,shrub,1.24,1.5,1.8,2.2
136.7685970492011,35.733744002519494,tree,4.28,4.5,1.7,NA
136.76952698542118,35.73374399973005,tree,4.1,2.8,1.0,NA
136.77045695114097,35.73374398254349,shrub,0.6,4.8,10.1,1.5
136.77138697861886,35.73374403482304,shrub,0.76,1.8,10.6,1.5
136.77231692023108,35.7337440340132,shrub,0.68,0.5,3.9,1.6
136.77324684772,35.733744013317335,shrub,0.5,4.6,10.5,1.4
136.7741768704707,35.73374403320336,shrub,0.74,2.5,9.8,1.5
136.7751067241683,35.73374398668266,shrub,1.28,2.4,2.2,2.3
136.7760367573244,35.73374402654469,shrub,0.59,1.1,9.5,1.5
136.77696667963758,35.733744009988,shrub,0.74,5.2,3.6,1.7
136.77789664102386,35.73374401727654,tree,4.26,1.2,2.0,NA
136.77882653988547,35.733743982813436,shrub,0.66,1.4,10.2,1.5
136.77975658851153,35.73374403374325,shrub,0.74,0.5,3.3,1.6
136.7806865594785,35.7337440209658,tree,5.47,0.5,2.4,NA
136.7816165215522,35.73374402807439,shrub,0.8,6.3,9.5,1.6
136.78254637262546,35.733743973005396,shrub,1.73,1.9,0.8,2.3
136.78347635070358,35.733743990012,shrub,2.02,0.5,1.2,2.4
136.78440635146976,35.73374399613077,shrub,0.8,4.1,9.8,1.5
136.7853363090031,35.733744014577084,tree,4.95,5.1,1.7,NA
136.78626623529735,35.733743987582486,shrub,0.76,4.2,11.0,1.4
136.78719619248702,35.73374397696461,shrub,0.67,1.1,10.5,1.6
136.78812617392174,35.733744006748644,shrub,1.83,1.4,1.2,2.3
136.7890561601177,35.733744019976,tree,5.36,5.7,2.3,NA
136.78998607006082,35.73374399145171,tree,6.39,4.3,2.5,NA
136.7909160516695,35.73374400071985,shrub,0.79,2.7,9.8,1.5
136.7918460660837,35.733744041391724,shrub,0.84,5.4,10.2,1.5
136.7927760215218,35.7337440314937,shrub,1.79,3.5,0.5,2.4
136.79370587545822,35.73374398344331,tree,6.63,4.5,3.1,NA
136.79463586802316,35.73374400359928,tree,4.64,1.5,1.2,NA
136.7955658036722,35.73374397219556,shrub,0.7,0.5,10.7,1.6
136.7964957605178,35.73374397516497,shrub,0.59,3.1,10.0,1.4
136.79742573163563,35.733743979034195,shrub,0.88,3.0,9.6,1.5
136.79835576621977,35.73374402429514,tree,6.29,4.9,0.9,NA
136.76152592652576,35.734500123545295,shrub,1.63,2.4,2.0,2.2
