GPS_lon,GPS_lat,Plant,height_m,leaf_length_cm,leaf_aspect_ratio,bud_length_cm
136.7576304411062,35.732231709448115,shrub,1.79,0.5,1.6,2.2
136.75856034775848,35.732231678134376,shrub,0.71,7.6,2.8,1.6
136.7594902937435,35.732231675074985,tree,5.9,3.0,2.4,NA
136.7604202426741,35.7322316910018,tree,5.41,0.5,2.1,NA
136.7613501986729,35.73223168578284,shrub,0.81,1.1,3.2,1.7
136.76228022201084,35.7322317365327,shrub,1.78,0.9,1.2,2.2
136.76321014501826,35.732231734463106,shrub,0.61,3.4,10.8,1.4
136.76414005098434,35.732231722405515,tree,4.94,7.7,2.4,NA
136.76506998703155,35.73223172438512,shrub,1.27,4.7,1.0,2.3
136.76599987284175,35.73223167120575,tree,5.8,1.7,-0.2,NA
136.76692988886953,35.732231728974206,shrub,1.7,1.9,1.2,2.4
136.76785978014343,35.73223169109178,shrub,0.69,7.1,11.0,1.4
136.76878978886447,35.732231725015,shrub,0.5,0.5,10.5,1.7
136.76971970243542,35.73223170971806,shrub,0.66,4.0,3.6,1.7
136.77064956104533,35.73223168065387,shrub,0.6,4.4,2.7,1.7
136.77157961391018,35.73223172726454,shrub,1.89,0.5,1.2,2.4
136.77250944903787,35.732231687942416,shrub,0.65,1.2,10.3,1.4
136.7734393933676,35.73223168875225,tree,4.79,0.5,1.6,NA
136.774369392969,35.73223170827834,shrub,0.69,0.5,10.8,1.5
136.7752993274821,35.73223169667066,shrub,1.99,0.6,0.7,2.3
136.77622929915057,35.73223172177564,tree,5.2,0.5,1.2,NA
136.7771591775641,35.73223168317337,shrub,0.83,8.8,10.0,1.3
136.77808910308212,35.732231673545286,tree,4.51,0.5,0.9,NA
136.77901904943784,35.73223167669466,shrub,1.2,0.5,2.3,2.3
136.77994897451254,35.732231672285536,tree,4.71,2.1,1.4,NA
136.78087900476942,35.73223171745651,shrub,0.61,6.5,3.0,1.7
136.78180895473932,35.73223172438512,shrub,0.54,1.7,10.7,1.6
136.7827387899329,35.732231673635276,shrub,1.84,4.9,2.1,2.2
136.78366875511279,35.73223168452309,shrub,1.79,0.5,1.1,2.3
136.7845986791609,35.73223167165567,tree,2.39,0.5,1.4,NA
136.78552869772452,35.73223172438512,shrub,1.29,4.7,1.2,2.5
136.78645864653657,35.732231717366524,shrub,0.75,5.5,9.7,1.4
136.7873885466907,35.73223169181164,tree,5.31,3.2,-0.3,NA
136.78831854044796,35.732231722945414,shrub,0.49,6.0,11.0,1.5
136.7892484318982,35.732231714487106,shrub,1.73,1.4,2.3,2.2
136.79017831331794,35.73223167525495,tree,5.74,4.4,1.6,NA
136.79110830717894,35.73223170296941,shrub,0.75,0.5,10.1,1.5
136.7920382594693,35.73223170557889,shrub,0.72,0.5,11.1,1.4
136.79296815549526,35.73223168767247,shrub,1.78,5.8,0.7,2.2
136.79389811794303,35.73223168524295,shrub,1.82,3.1,1.5,2.2
136.7948280637549,35.73223169703059,shrub,0.59,8.0,9.3,1.6
136.79575800849497,35.732231711157766,shrub,1.68,6.6,0.6,2.3
136.75892894011105,35.732987857918424,shrub,0.97,8.1,10.1,1.5
136.7598588600125,35.7329878570186,shrub,0.72,0.5,9.7,1.4
136.76078886441286,35.732987886442714,tree,5.64,0.9,2.9,NA
136.76171872299983,35.732987833083385,shrub,0.71,3.2,10.5,1.7
136.7626487492601,35.73298787897421,shrub,1.33,2.6,2.5,2.3
136.76357863060773,35.73298784325135,tree,5.21,3.3,1.7,NA
136.76450864078188,35.732987868626275,shrub,1.22,2.4,1.8,2.3
136.7654384910423,35.73298782066587,tree,6.59,3.6,2.1,NA
136.7663684647377,35.73298783704259,shrub,0.73,3.0,11.2,1.6
136.7672985144286,35.732987875374924,tree,4.71,4.5,2.2,NA
136.76822840291058,35.73298785746851,tree,3.82,0.5,2.6,NA
136.76915841531556,35.732987879244156,shrub,0.62,0.5,9.6,1.5
136.77008828649414,35.732987845140975,shrub,0.57,5.5,3.4,1.6
136.77101823088933,35.732987850899825,shrub,1.26,7.7,1.4,2.5
136.7719481866191,35.73298783587283,shrub,1.82,0.8,1.3,2.2
136.77287818635546,35.732987875015006,tree,5.34,7.8,2.7,NA
136.77380806200406,35.732987830563886,tree,6.46,6.3,2.6,NA
136.77473808111222,35.73298787879424,shrub,0.84,2.3,9.4,1.4
136.77566796830396,35.73298782624475,tree,5.37,7.8,3.8,NA
136.77659794859406,35.73298783821236,shrub,0.53,2.2,10.1,1.4
136.77752795553835,35.73298788986203,tree,3.82,6.3,2.8,NA
136.7784578625697,35.73298787096581,shrub,0.73,0.5,10.9,1.5
136.77938781947367,35.73298785539892,shrub,0.82,0.5,10.1,1.7
136.780317739673,35.73298784172165,tree,3.25,0.5,0.4,NA
136.7812477458417,35.732987873395324,shrub,0.61,0.5,2.6,1.9
136.78217767807655,35.7329878660168,shrub,0.74,1.8,10.9,1.4
136.78310760951564,35.73298786358729,shrub,1.9,1.9,0.9,2.2
136.78403751771086,35.7329878255249,tree,5.54,7.4,2.1,NA
136.784967550794,35.73298788878225,shrub,0.57,4.6,10.2,1.4
136.7858974026368,35.73298782480504,tree,4.13,2.1,2.0,NA
136.786827435715,35.73298787375525,shrub,1.35,2.4,2.2,2.2
136.78775733515113,35.73298783929214,shrub,1.83,0.5,1.4,2.4
136.78868733502577,35.73298786304739,shrub,1.83,0.5,1.2,2.0
136.7896172317204,35.73298784361128,shrub,0.5,6.3,2.5,1.7
136.7905472095207,35.73298785341932,shrub,0.75,3.0,10.3,1.6
136.79147714155172,35.7329878415417,shrub,0.74,2.4,9.8,1.5
136.79240717558002,35.73298789175165,shrub,0.65,2.3,10.0,1.5
136.79333699976573,35.73298782417517,shrub,0.68,2.0,10.7,1.5
136.79426695403507,35.73298783497301,shrub,1.17,3.9,1.9,2.3
136.79519694121916,35.73298785584883,shrub,0.65,0.5,3.5,1.7
136.79612685549483,35.732987839562085,tree,7.34,8.3,1.5,NA
136.79705682962384,35.732987854319134,shrub,1.78,6.9,1.8,2.1
136.7602274499071,35.73374402465507,tree,4.95,7.9,-0.0,NA
136.76115742173766,35.73374402726454,tree,4.39,3.3,3.7,NA
136.762087334047,35.733743991541694,shrub,0.53,3.3,3.2,1.8
136.7630173356952,35.733744022855426,tree,5.33,4.4,0.5,NA
136.76394721054422,35.733743974535095,shrub,1.09,0.5,1.6,2.3
136.76487730567882,35.733744041661666,shrub,0.71,1.7,10.2,1.4
136.7658071403854,35.733743986592685,shrub,0.63,4.1,10.0,1.3
136.76673710272848,35.73374399244151,shrub,0.9,2.3,3.0,1.8
136.76766714501468,35.733744028794234,shrub,0.84,0.5,10.3,1.5
136.76859699614346,35.73374397336533,tree,4.22,3.0,0.0,NA
136.76952701824413,35.73374400485903,shrub,1.22,0.5,1.1,2.3
136.7704569777962,35.73374399613077,shrub,0.77,2.2,10.3,1.4
136.7713869798009,35.73374404292142,tree,5.2,0.5,2.6,NA
136.77231684260173,35.73374397489502,tree,5.66,6.1,1.3,NA
136.773246804699,35.73374398137373,tree,4.4,4.1,2.7,NA
136.7741768241845,35.733744003869226,shrub,0.89,8.7,3.5,1.7
136.775106714514,35.73374398254349,shrub,0.59,4.3,2.9,1.8
136.77603668414812,35.733743991541694,shrub,0.68,0.5,10.7,1.5
136.77696664439904,35.73374399514097,shrub,1.83,0.9,2.3,2.3
136.77789658123916,35.733743981823636,shrub,1.83,2.5,1.0,2.4
136.7788266459206,35.73374403572286,tree,5.46,0.5,2.7,NA
136.77975651555712,35.73374397219556,shrub,0.6,0.5,10.3,1.6
136.78068646959932,35.7337439784943,shrub,1.66,0.5,1.4,2.4
136.78161643725906,35.733743978224354,tree,5.33,3.0,2.5,NA
136.78254648876052,35.73374403527294,shrub,1.05,7.5,1.8,2.4
136.7834763429757,35.73374398029394,shrub,1.32,8.9,2.2,2.3
136.7844063331379,35.73374400278944,tree,4.71,4.0,1.0,NA
136.78533627796511,35.733743979304144,tree,4.27,6.3,2.5,NA
136.7862662616128,35.73374401430714,shrub,0.58,3.9,11.4,1.5
136.78719621359687,35.73374399415117,shrub,0.73,3.2,9.5,1.6
136.7881262063466,35.733744006748644,shrub,0.81,1.1,10.5,1.5
136.78905618703388,35.73374403545291,shrub,0.91,0.5,10.6,1.4
136.78998603856576,35.73374398065387,shrub,0.68,5.1,2.0,1.7
136.79091610041522,35.733744041661666,tree,5.56,0.5,2.8,NA
136.7918460381935,35.733744009628076,shrub,0.64,0.5,9.7,1.4
136.7927759942288,35.73374402681464,tree,3.29,11.1,2.0,NA
136.79370586958478,35.733743980023995,shrub,1.88,0.5,1.9,2.2
136.79463595708117,35.733744032123575,tree,4.17,0.5,1.5,NA
136.79556583882655,35.73374399775045,shrub,0.64,1.8,8.8,1.3
136.79649583486554,35.73374401277744,shrub,1.66,4.1,1.2,2.3
136.79742572733892,35.733743979754045,shrub,0.58,3.5,9.4,1.6
136.79835569826383,35.73374398209358,tree,4.88,3.4,-0.3,NA
136.76152604798727,35.7345001895021,shrub,0.69,5.9,9.9,1.5
136.7624559390041,35.73450012831434,shrub,0.85,3.7,10.7,1.4
136.76338591673058,35.73450014874025,tree,5.84,2.9,3.3,NA
136.76431588345048,35.73450015566886,shrub,0.66,4.3,3.7,1.8
136.76524591248096,35.73450017645471,tree,5.99,6.7,1.8,NA
136.7661758186324,35.73450014586083,shrub,0.75,4.2,10.4,1.6
136.7671057823097,35.734500134973004,shrub,1.72,0.5,0.9,2.1
136.7680358093756,35.73450018509298,tree,4.5,2.2,2.2,NA
136.76896580102493,35.7345001904919,shrub,1.15,1.0,1.9,2.3
136.76989572599214,35.73450017942412,shrub,0.64,0.9,9.8,1.5
136.77082567635128,35.73450014667067,shrub,0.57,0.5,10.4,1.6
136.77175562639465,35.73450014073185,tree,4.63,0.5,0.8,NA
136.7726856516803,35.734500178344334,shrub,1.85,2.2,0.7,2.5
136.77361565327217,35.73450019301139,shrub,1.07,0.5,2.5,2.3
136.77454552949206,35.73450014280144,shrub,1.23,2.0,2.0,2.3
136.7754755575859,35.73450017618476,shrub,1.81,1.7,1.3,2.5
136.77640549539484,35.73450017420516,shrub,0.97,4.4,9.6,1.5
136.77733539370004,35.734500134793045,shrub,0.77,2.0,3.8,1.6
136.77826539905118,35.734500160797836,tree,6.75,2.7,1.3,NA
136.77919537412555,35.73450014991001,tree,3.32,1.3,0.7,NA
136.78012529613716,35.734500135962804,shrub,0.65,2.1,10.7,1.4
136.78105530427226,35.734500142261545,shrub,0.77,0.5,10.8,1.5
136.78198529415945,35.73450015629874,shrub,2.02,0.5,2.1,2.5
136.78291525317675,35.73450016898621,shrub,0.52,5.2,10.2,1.5
136.7838452145648,35.73450016520695,tree,5.11,3.0,2.4,NA
136.78477516642334,35.73450015368926,tree,5.82,10.5,2.1,NA
136.78570511546604,35.73450014865026,shrub,0.69,1.0,10.3,1.5
136.7866350415298,35.734500123275346,shrub,0.63,2.4,9.6,1.5
136.7875651577652,35.73450019373126,tree,4.87,9.0,1.6,NA
136.78849501893743,35.73450014604079,tree,5.15,4.7,3.7,NA
136.78942502983855,35.73450016889622,tree,5.22,6.4,2.4,NA
136.79035494516856,35.734500143071386,tree,5.88,1.9,1.9,NA
136.79128490616637,35.73450013713257,shrub,0.8,0.5,11.0,1.3
136.79221495542544,35.73450017078584,shrub,0.73,2.8,10.8,1.4
136.79314488273786,35.734500159088185,tree,5.38,11.9,1.1,NA
136.7940748237196,35.734500149550094,shrub,0.52,0.5,9.8,1.5
136.79500485330902,35.734500187342526,shrub,0.61,7.2,2.3,1.7
136.7959348357636,35.73450018455309,shrub,0.53,4.2,10.1,1.5
136.79686476404157,35.734500174835034,shrub,0.54,1.4,10.6,1.6
136.79779474771095,35.73450017816437,tree,6.23,0.5,2.1,NA
136.79872463627234,35.73450013740252,tree,3.86,5.5,1.1,NA
136.79965462905668,35.73450013605279,shrub,1.79,0.5,1.4,2.4
136.76282455287966,35.73525627759448,shrub,1.81,3.6,1.1,2.4
136.76375454639,35.73525628731254,shrub,0.83,6.7,10.3,1.6
136.7646844990254,35.73525627561488,shrub,0.67,3.2,2.1,1.7
136.76561458795015,35.73525633167367,shrub,1.07,0.5,2.6,2.2
136.76654458044115,35.735256336802635,shrub,0.53,2.6,10.1,1.5
136.76747453939876,35.735256337162575,shrub,1.79,2.8,1.8,2.1
136.76840451013578,35.73525632627475,shrub,0.53,4.0,9.8,1.4
136.76933440127146,35.7352562765147,shrub,0.67,2.0,11.6,1.5
136.7702643999249,35.735256284523096,shrub,0.72,5.7,10.2,1.4
136.77119446931724,35.735256338872226,shrub,1.27,3.1,1.8,2.4
136.7721244001699,35.73525632267547,shrub,0.63,4.5,3.5,1.8
136.7730544057639,35.735256327894426,shrub,0.75,0.5,11.0,1.3
136.7739843524242,35.73525631574685,shrub,1.14,2.1,2.5,2.2
136.77491436463333,35.73525633725255,shrub,1.33,0.5,2.5,2.4
136.7758442887211,35.73525630332933,shrub,1.85,1.9,1.0,2.5
136.77677428227182,35.735256330143976,shrub,0.72,6.3,3.3,1.6
136.7777042999557,35.73525633950211,shrub,0.64,0.5,10.5,1.5
136.7786342334608,35.735256313317336,shrub,1.29,5.4,1.6,2.2
136.77956419936325,35.735256309538094,shrub,1.91,0.5,1.3,2.2
136.78049409377488,35.735256279214155,shrub,0.65,2.5,3.6,1.6
136.7814241470796,35.735256307828436,tree,4.53,5.2,0.9,NA
136.78235404740397,35.73525628191362,tree,4.26,9.7,2.0,NA
136.78328410824753,35.73525632348531,shrub,1.98,0.5,1.9,2.1
136.78421402671972,35.73525628713258,shrub,0.72,0.5,10.1,1.6
136.78514408584368,35.73525633266347,shrub,0.71,1.7,10.1,1.7
136.78607400654718,35.73525630791842,shrub,1.11,4.8,2.4,2.2
136.78700401326333,35.735256309538094,tree,5.06,0.5,2.2,NA
136.78793396947506,35.73525631016797,shrub,0.66,5.6,9.6,1.4
136.78886397727942,35.735256338062385,tree,4.06,0.5,2.5,NA
136.78979395864394,35.73525632015597,shrub,0.66,3.4,10.8,1.4
136.79072387249442,35.7352562874925,shrub,0.54,4.1,3.0,1.9
136.79165386321074,35.73525630485903,tree,6.73,3.2,2.1,NA
136.79258388540558,35.735256326634676,shrub,0.64,4.4,10.7,1.5
136.7935138076236,35.73525629343131,tree,4.79,4.9,3.5,NA
136.79444375868857,35.73525629145171,tree,4.48,1.1,1.8,NA
136.7953737391318,35.73525628209359,shrub,0.8,5.4,10.5,1.6
136.79630372967526,35.73525629865027,tree,5.62,1.7,1.7,NA
136.79723370473425,35.735256290731854,shrub,0.76,0.5,10.7,1.3
136.79816367639327,35.73525629739053,shrub,1.17,0.5,1.4,2.5
136.79909369262577,35.735256327354534,shrub,0.72,0.5,10.0,1.3
136.80002362452552,35.73525628542291,tree,5.17,2.0,1.6,NA
136.80095362674442,35.735256305038995,shrub,1.25,4.1,1.7,2.2
136.76412328890146,35.73601246043791,shrub,0.75,4.5,9.0,1.4
136.7650533082864,35.736012490581885,tree,4.45,4.6,2.8,NA
136.7659833347703,35.73601249670066,shrub,1.84,0.5,0.5,2.4
136.7669132583415,35.736012464937005,tree,5.51,3.8,2.2,NA
136.76784316334877,35.736012426424715,shrub,0.82,0.5,2.7,1.5
136.76877326840355,35.73601248995201,shrub,0.79,3.0,9.5,1.6
136.76970324465208,35.736012494271144,shrub,0.69,2.3,9.5,1.3
136.77063324346946,35.73601249517097,tree,4.02,6.9,3.8,NA
136.77156318065644,35.73601247771446,tree,6.25,0.5,0.8,NA
136.77249316835923,35.73601246376725,tree,6.52,5.5,1.9,NA
136.7734232031608,35.73601249193161,shrub,0.64,4.2,9.9,1.3
136.77435305811983,35.7360124275045,tree,5.37,2.9,1.7,NA
136.77528312051132,35.73601248455309,shrub,0.78,0.5,2.9,1.6
136.7762131263501,35.7360124789742,shrub,1.29,5.1,2.7,2.2
136.77714307441883,35.736012452519496,shrub,1.87,3.0,1.7,2.2
136.7780730889941,35.73601247483503,tree,4.42,4.3,2.6,NA
136.7790030271515,35.73601244712058,tree,7.33,4.9,2.4,NA
136.7799329678677,35.736012426694664,shrub,1.74,4.3,1.4,2.3
136.78086295423128,35.73601243632273,shrub,0.71,2.1,2.2,1.7
136.78179299178873,35.73601244631074,tree,5.36,3.5,2.0,NA
136.78272295758453,35.73601244667067,tree,4.65,5.5,1.6,NA
